who (OPTIONS: cu-student; certificate-student; other), type, country, state, city, latitude, longitude
certificate-student,Braddon,Australia,ACT,Canberra,-33.865143,151.2099
certificate-student,Bruce, Australia,ACT,Canberra, 33.8688° S, 151.2093° E
